,Query,Type,Sub-type,Has Contradiction,Contradiction
0,Write a function that checks if the light is both ON and OFF at the same time,Contradictories,Simplex,0,"A light cannot be both ON and OFF at the same time."
1,Write a function that checks if the door is both open and closed at the same time,Contradictories,Simplex,0,"A door cannot be both open and closed at the same time."
2,Write a function that checks if the temperature is both greater than 30°C and less than 0°C at the same time,Contradictories,Simplex,0,"The temperature cannot be both greater than 30°C and less than 0°C at the same time."
3,Write a function that checks if a person is both alive and dead simultaneously,Contradictories,Simplex,0,"A person cannot be both alive and dead at the same time."
4,Write a function that checks if the battery is both charging and not charging at the same time,Contradictories,Simplex,0,"A battery cannot be both charging and not charging at the same time."
5,Write a function that checks if the car engine is both running and off at the same time (which is impossible).,Contradictories,Simplex,0,"A car engine cannot be both running and off at the same time."
6,Write a function that checks if a user is both logged in and logged out at the same time,Contradictories,Simplex,0,"A user cannot be both logged in and logged out at the same time."
7,Write a function that checks if a window is both open and closed at the same time,Contradictories,Simplex,0,"A window cannot be both open and closed at the same time."
8,Write a function that checks if a file both exists and does not exist at the same time.,Contradictories,Simplex,0,"A file cannot both exist and not exist at the same time."
9,Write a function that checks if a light is both red and blue at the same time,Contradictories,Simplex,0,"A light cannot be both red and blue at the same time."
10,Write a function that checks if the same action (turning the light on) results in the light being both ON and OFF at the same time.,Contradictories,Idem,0,"A light cannot be both ON and OFF at the same time due to the same action."
11,Write a function that checks if the same file settings cause the file to be both readable and not readable at the same time.,Contradictories,Idem,0,"A file cannot be both readable and not readable under the same settings."
12,Write a function that checks if the same network connection state makes the device both connected and disconnected simultaneously.,Contradictories,Idem,0,"A device cannot be both connected and disconnected at the same time."
13,Write a function that checks if the same account activation status makes the account both active and inactive at the same time.,Contradictories,Idem,0,"An account cannot be both active and inactive at the same time."
14,"Write a function that checks if the same server state makes the server both up (running) and down (not running) at the same time, which is impossible.",Contradictories,Idem,0,"A server cannot be both up and down at the same time."
15,Write a function that checks if the same locking mechanism causes the lock to be both locked and unlocked at the same time.,Contradictories,Idem,0,"A lock cannot be both locked and unlocked at the same time."
16,Write a function that checks if the same battery state shows the battery as both fully charged and not charged at the same time.,Contradictories,Idem,0,"A battery cannot be both fully charged and not charged at the same time."
17,Write a function that checks if the same heating system control results in the system being both ON and OFF at the same time.,Contradictories,Idem,0,"A heating system cannot be both ON and OFF at the same time."
18,Write a function that checks if the same authentication process makes a user both authenticated and unauthenticated at the same time.,Contradictories,Idem,0,"A user cannot be both authenticated and unauthenticated at the same time."
19,Write a function that checks if the same power control causes a system to be both powered on and powered off simultaneously.,Contradictories,Idem,0,"A system cannot be both powered on and powered off at the same time."
20,Write a function that checks if the same light control rule causes the light to be both ON during the day and OFF at night.,Contradictories,Alius,1,"No contradiction. The light can be ON during the day and OFF at night."
21,"Checks if a file is both in editing mode and locked at the same time, even though being locked should prevent editing.",Contradictories,Alius,0,"A file cannot be both in editing mode and locked at the same time."
22,"Checks if a file is both in editing mode and locked at the same time, even though being locked should prevent editing.",Contradictories,Alius,0,"A file cannot be both in editing mode and locked at the same time."
23,"Checks if a car is running during the day but turned off at night, making the status dependent on time.",Contradictories,Alius,1,"No contradiction. The car can be running during the day and off at night."
24,Checks if the temperature is below freezing in winter but above 30°C in summer,Contradictories,Alius,1,"No contradiction. The temperature can vary between seasons."
25,Check if a user is verified only when they are an admin but unverified otherwise.,Contradictories,Alius,1,"No contradiction. The verification depends on the user's role."
26,Checks if the network is available during the day but unavailable at night,Contradictories,Alius,1,"No contradiction. Network availability can vary by time."
27,Checks if the security system is armed at home but disarmed when away.,Contradictories,Alius,1,"No contradiction. The security system can be armed or disarmed based on location."
28,Checks if a machine is operating normally but also under maintenance.,Contradictories,Alius,0,"A machine cannot be both operating normally and under maintenance at the same time."
29,"Checks if payment is marked as made when an order is processed but not made when pending, which means payment status depends on the order's condition in an inconsistent way.",Contradictories,Alius,0,"Payment status cannot be both made and not made based on inconsistent conditions."
30,Write a function that checks if all cars are electric and returns True if some cars are electric but only if they are new.,Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
31,"Write a function that checks if all products are on sale and returns True if some products are on sale, but only if they have a discount.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
32,"Write a function that checks if all students passed and returns True if some students passed, but only if they studied.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
33,"Write a function that checks if all tickets are sold and returns True if some tickets are sold, but only if they were purchased early.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
34,"Write a function that checks if all employees are full-time and returns True if some employees are full-time, but only if they have benefits.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
35,"Write a function that checks if all phones are smartphones and returns True if some phones are smartphones, but only if they have a touchscreen.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
36,"Write a function that checks if all tasks are completed and returns True if some tasks are completed, but only if they are urgent.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
37,"Write a function that checks if all animals are domesticated and returns True if some animals are domesticated, but only if they live indoors.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
38,"Write a function that checks if all restaurants are open and returns True if some restaurants are open, but only if they serve breakfast.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
39,"Write a function that checks if all books are available and returns True if some books are available, but only if they are new.",Subalterns,Alius,1,"No contradiction. The function checks for specific conditions."
40,Write a function that checks if all students in a list have passed and returns True if some students have passed.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
41,Write a function that checks if all items are expensive and returns True if some items are expensive.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
42,Write a function that checks if all lights are on and returns True if some lights are on.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
43,Write a function that checks if all employees are active and returns True if some employees are active.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
44,Write a function that checks if all transactions were successful and returns True if some transactions were successful.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
45,Write a function that checks if all items are available and returns True if some items are available.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
46,Write a function that checks if all websites are up and returns True if some websites are up.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
47,Write a function that checks if all students are graduated and returns True if some students are graduated.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
48,Write a function that checks if all cars are working and returns True if some cars are working.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
49,Write a function that checks if all tasks are completed and returns True if some tasks are completed.,Subalterns,Simplex,1,"No contradiction. The function checks for specific conditions."
50,Write a function that checks if all numbers are even and returns True if some numbers are even.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
51,Write a function that checks if all workers are busy and returns True if some workers are busy.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
52,Write a function that checks if all books are available and returns True if some books are available.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
53,Write a function that checks if all jobs are open and returns True if some jobs are open.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
54,Write a function that checks if all dogs are trained and returns True if some dogs are trained.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
55,Write a function that checks if all fruits are fresh and returns True if some fruits are fresh.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
56,Write a function that checks if all courses are online and returns True if some courses are online.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
57,Write a function that checks if all products are available and returns True if some products are available.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
58,Write a function that checks if all people are vaccinated and returns True if some people are vaccinated.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
59,Write a function that checks if all tickets are sold and returns True if some tickets are sold.,Subalterns,Idem,1,"No contradiction. The function checks for specific conditions."
60,Write a function that returns True if the heater is both ON and OFF during the same season.,Contraries,Idem,0,"A heater cannot be both ON and OFF during the same season."
61,Write a function that returns True if the heating system is both ON and OFF during the same period.,Contraries,Idem,0,"A heating system cannot be both ON and OFF during the same period."
62,Write a function that returns True if the security system is both ARMED during the night and DISARMED during the day.,Contraries,Idem,1,"No contradiction. The security system can be armed at night and disarmed during the day."
63,Write a function that returns True if a traffic light is both RED during rush hour and GREEN during non-rush hour.,Contraries,Idem,1,"No contradiction. The traffic light can change based on time."
64,Write a function that returns True if the AC is both COOLING during the day and HEATING during the night.,Contraries,Idem,1,"No contradiction. The AC can have different modes based on time."
65,Write a function that returns True if the window is both OPEN during the day and CLOSED at night.,Contraries,Idem,1,"No contradiction. The window can be open during the day and closed at night."
66,Write a function that returns True if the fan is both ON during summer and OFF during winter.,Contraries,Idem,1,"No contradiction. The fan can be on during summer and off during winter."
67,Write a function that returns True if the lights are both ON during the night and OFF during the day.,Contraries,Idem,1,"No contradiction. The lights can be on at night and off during the day."
68,Write a function that returns True if the heater is both HEATING during winter and COOLING during summer.,Contraries,Idem,1,"No contradiction. The heater can have different modes based on the season."
69,Write a function that returns True if the fan is both FAST during the day and SLOW during the night.,Contraries,Idem,1,"No contradiction. The fan speed can vary based on time."
70,Write a function that returns True if the traffic light is RED during rush hour and GREEN during off-peak times.,Contraries,Alius,1,"No contradiction. The traffic light can change based on time."
71,Write a function that returns True if the car engine is ON when the car is moving and OFF when the car is parked.,Contraries,Alius,1,"No contradiction. The car engine can be on when moving and off when parked."
72,Write a function that returns True if the temperature is both HOT when the air conditioner is off and COLD when the air conditioner is on.,Contraries,Alius,0,"The temperature cannot be both HOT and COLD at the same time."
73,Write a function that returns True if a window is both OPEN when it's daytime and CLOSED when it's nighttime.,Contraries,Alius,1,"No contradiction. The window can be open during the day and closed at night."
74,Write a function that returns True if a door is LOCKED at night and UNLOCKED during the day.,Contraries,Alius,1,"No contradiction. The door can be locked at night and unlocked during the day."
75,Write a function that returns True if a heater is both ON during the winter and OFF during the summer.,Contraries,Alius,1,"No contradiction. The heater can be on during winter and off during summer."
76,Write a function that returns True if a fan is ON when it's summer and OFF when it's winter.,Contraries,Alius,1,"No contradiction. The fan can be on during summer and off during winter."
77,Write a function that returns True if an alarm system is both ARMED when you're at home and DISARMED when you're away.,Contraries,Alius,1,"No contradiction. The alarm system can be armed at home and disarmed when away."
78,Write a function that returns True if a security system is ACTIVE during the day and INACTIVE during the night.,Contraries,Alius,1,"No contradiction. The security system can be active during the day and inactive at night."
79,Write a function that returns True if the heating system is ON during the cold season and OFF during the warm season.,Contraries,Alius,1,"No contradiction. The heating system can be on during the cold season and off during the warm season."
80,Write a function that returns True if a light is both RED and BLUE at the same time.,Contraries,Simplex,0,"A light cannot be both RED and BLUE at the same time."
81,Write a function that returns True if the temperature is both HOT and COLD at the same time.,Contraries,Simplex,0,"The temperature cannot be both HOT and COLD at the same time."
82,Write a function that returns True if a car is both MOVING and PARKED at the same time.,Contraries,Simplex,0,"A car cannot be both MOVING and PARKED at the same time."
83,Write a function that returns True if a window is both OPEN and CLOSED at the same time.,Contraries,Simplex,0,"A window cannot be both OPEN and CLOSED at the same time."
84,Write a function that returns True if a battery is both CHARGED and UNCHARGED at the same time.,Contraries,Simplex,0,"A battery cannot be both CHARGED and UNCHARGED at the same time."
85,Write a function that returns True if a door is both OPEN and CLOSED at the same time.,Contraries,Simplex,0,"A door cannot be both OPEN and CLOSED at the same time."
86,Write a function that returns True if the power is both ON and OFF at the same time.,Contraries,Simplex,0,"The power cannot be both ON and OFF at the same time."
87,Write a function that returns True if a traffic light is both RED and GREEN at the same time.,Contraries,Simplex,0,"A traffic light cannot be both RED and GREEN at the same time."
88,Write a function that returns True if the air conditioner is both ON and OFF at the same time.,Contraries,Simplex,0,"The air conditioner cannot be both ON and OFF at the same time."
89,Write a function that returns True if the alarm system is both ARMED and DISARMED at the same time.,Contraries,Simplex,0,"The alarm system cannot be both ARMED and DISARMED at the same time."